feature,importance,importance_pct
experience_years,0.4884448695634441,48.84
bonus_usd,0.22656147090244966,22.66
country,0.1585635714210016,15.86
employee_satisfaction,0.05225163623505648,5.23
job_role,0.04078177041453307,4.08
exp_x_rating,0.013514634589283942,1.35
experience_bucket,0.004438521422841061,0.44
work_life_balance_score,0.004152231582712745,0.42
experience_level,0.0008625134870292261,0.09
job_security_score,0.0008622534490050071,0.09
layoff_risk,0.0007349052791930428,0.07
economic_index,0.0006832273571009736,0.07
hiring_difficulty_score,0.0006414840532616715,0.06
promotion_speed,0.0005891455854397995,0.06
offer_acceptance_rate,0.0005694237098525212,0.06
skill_x_ai,0.0005401020194288018,0.05
company_funding_billion,0.0005398096159619498,0.05
tax_rate_percent,0.0005304975879294575,0.05
cost_of_living_index,0.0004941555527939389,0.05
automation_risk,0.0004934823232657462,0.05
company_rating,0.00045358133484677167,0.05
career_growth_score,0.00041595442235724424,0.04
ai_adoption_score,0.0003861985941125446,0.04
skill_demand_score,0.0003312185234321606,0.03
job_openings,0.0003249334683947735,0.03
annual_hours,0.00029441585017397746,0.03
weekly_hours,0.000269227380131697,0.03
vacation_days,0.0002647390993831057,0.03
ai_maturity_years,0.00020302608335982065,0.02
industry,0.00018488768252457942,0.02
company_size,0.0001457228075404957,0.01
year,0.00012555536968331628,0.01
ai_specialization,0.00012192195544334148,0.01
interview_rounds,0.000106892701864255,0.01
education_required,8.587205337636054e-05,0.01
work_mode,3.6146521790619985e-05,0.0
